qa_id,id,file_name,question,gold_answer,answer_type,wer,cer,reference_normalized,asr_raw,answer_preserved,answer_preserved_token_span
284,1966,6012893237357673272.wav,این کمیسیون در پاسخ به چه چیزی ایجاد شد؟,اعتراضات گسترده ضدحکومتی,event,0.066666667,0.075949367,این کمیسیون پاسخ مارتلی بود به اعتراضات گسترده ضدحکومتی که در ماه اکتبر آغاز شد,این کمیسیون پاسخ مارتلی بود به اعتراضات گسترده ضد که در ماه اکتبر آغاز شد,False,False
60,1727,2817180319637980241.wav,کودکان وحشی ممکن است پیش از ترک شدن چه تجربه‌هایی داشته باشند؟,کودک آزاری شدید یا ضربه‌ای عاطفی,experience,0.090909091,0.089108911,کودکان وحشی ممکن است قبل از ترک شدن یا فرار کردن کودک آزاری شدید یا ضربه‌ای عاطفی را تجربه کرده باشند,کودکان وحشی ممکن است قبل از ترک شدن یا فرار کردن کودک شدید یا ضربه عاطفی را تجربه کرده باشند,False,False
86,1755,12231270620623786468.wav,بمب در کجا منفجر شد؟,بیرون دفتر فرماندار کل,location,0.111111111,0.048780488,یک بمب در بیرون دفتر فرماندار کل منفجر شد,یک بمب در بیرون دفتر فرمانده کل منفجر شد,False,False
86,1755,15698039611577788882.wav,بمب در کجا منفجر شد؟,بیرون دفتر فرماندار کل,location,0.111111111,0.048780488,یک بمب در بیرون دفتر فرماندار کل منفجر شد,یک بمب در بیرون دفتر فرمانده کل منفجر شد,False,False
209,1889,15499649269750591712.wav,چرخ چه وسایل حمل‌ونقلی را برای ما به ارمغان آورده است؟,قطار، ماشین و بسیاری از وسایل حمل و نقل دیگر,transport_list,0.111111111,0.038461538,چرخ برای ما قطار ماشین و بسیاری از وسایل حمل و نقل دیگر را به ارمغان آورده است,چرخ برای مقار ماشین و بسیاری از وسایل حمل و نقل دیگر را به ارمغان آورده است,False,False
209,1889,17505508067160017308.wav,چرخ چه وسایل حمل‌ونقلی را برای ما به ارمغان آورده است؟,قطار، ماشین و بسیاری از وسایل حمل و نقل دیگر,transport_list,0.111111111,0.038461538,چرخ برای ما قطار ماشین و بسیاری از وسایل حمل و نقل دیگر را به ارمغان آورده است,چرخ برای مقار ماشین و بسیاری از وسایل حمل و نقل دیگر را به ارمغان آورده است,False,False
233,1914,18181875715462092222.wav,تحقیقات قرن بیستم چند منبع تغییرات ژنتیکی معرفی کرد؟,دو منبع,quantity,0.125,0.101265823,تحقیقات قرن بیستم نشان داد که دو منبع تغییرات ژنتیکی وجود دارد پنهان و بیان شده,تحقیقات قرن نشان داد که دو من تغییرات ژنتیکی وجود دارد پنهان و بیان شده,False,False
172,1849,1460521955945840098.wav,فیلم «گنج ملی» ممکن است چه تصور نادرستی درباره اعلامیه استقلال ایجاد کند؟,یک نقشه گنج در پشت اعلامیه استقلال نوشته شده است,claim,0.130434783,0.103773585,اگر فیلم گنج ملی را تماشا کرده باشید ممکن است فکر کنید که یک نقشه گنج در پشت اعلامیه استقلال نوشته شده است,اگر فیلم گنج را تماشا کرده باشید ممکن است فکر کنید که یک نقشه گنج در پشتی استقلال نوشته شده است,False,False
257,1938,17937172805428960138.wav,بیمارستان برای کنترل عفونت چه اقدامی درباره بیمار انجام داد؟,جدا کردن بیمار از سایرین,action,0.130434783,0.05511811,این بیمارستان از پروتکلی برای کنترل عفونت استفاده کرده است از جمله جدا کردن بیمار از سایرین برای جلوگیری از احتمال عفونت سایرین,این بیمارستان از پرولی برای کنترل عفونت استفاده کرده است از جمله جدا کردن بیمار از سایر برای جلوگیری از احتمال عفونت سای,False,False
120,1791,4033011412618651601.wav,برای جلوگیری از تغییر شکل مکان، چه کاری نباید انجام شود؟,نقاشی دیواری یا حک کردن روی بناها,action,0.142857143,0.078125,با نقاشی دیواری یا حک کردن روی بناها این مکان را از شکل نیندازید,با نقاشی دیواری یا حک کردن روی به این مکان را از شکل نیازید,False,False
59,1726,12234694707609554551.wav,گردش علمی چه بخشی از هر کلاس درسی دانسته شده است؟,بخش عمده‌ای,attribute,0.15625,0.095238095,گردش علمی بخش عمده‌ای از هر کلاس درسی است مدرس در اغلب اوقات دوست دارد که دانش‌آموزان خود را به مکانهایی ببرد که گزینه سفر با اتوبوس را نداشته باشد,گردش علمی بخش عمده از هر کلاس در است در اغلب اوقات دوست دارد که دانش آموزان خود را به مکانهایی ببرند که گزینه سفر با اتوبوس نداشته باشد,False,False
232,1913,17260900713464587563.wav,غرش ببر بیشتر شبیه چه چیزی توصیف شده است؟,جمله ای از کلمات غرولندی,comparison,0.157894737,0.137931034,غرش ببر مانند صدای کامل غرش یک شیر نیست بلکه بیشتر شبیه به جمله ای از کلمات غرولندی است,غرش مانند صدای کامل غرش یک شیر نیست بلکه بیشتر شبیه به از کلمات غرولندی است,False,False
245,1926,6786207384302261057.wav,نظرات چه کسی درباره مسائل علمی، از جمله روانشناسی، پذیرفته شد؟,ارسطو,person,0.166666667,0.095238095,نظرات ارسطو در مورد همه مسائل علمی از جمله روانشناسی پذیرفته شد,نظرات عرضو در مورد همه مسائل علمی از جمله روانشناسی پذیرفته,False,False
245,1926,12217358688659854513.wav,نظرات چه کسی درباره مسائل علمی، از جمله روانشناسی، پذیرفته شد؟,ارسطو,person,0.166666667,0.111111111,نظرات ارسطو در مورد همه مسائل علمی از جمله روانشناسی پذیرفته شد,نظرات عروس در مورد همه مسائل علمی از جمله روانشناسی پذیرفته,False,False
226,1907,2083901004647748274.wav,انگلیس پس از وقوع خصومت چه اقدامی علیه آلمان آغاز کرد؟,محاصره دریایی آلمان,event,0.166666667,0.1,درست پس از وقوع خصومت انگلیس محاصره دریایی آلمان را آغاز کرد,درست پس از خصومت انگلیس معاصره دریایی آلمان را آغاز کرد,False,False
245,1926,15543386164339151018.wav,نظرات چه کسی درباره مسائل علمی، از جمله روانشناسی، پذیرفته شد؟,ارسطو,person,0.166666667,0.095238095,نظرات ارسطو در مورد همه مسائل علمی از جمله روانشناسی پذیرفته شد,نظرات عرضو در مورد همه مسائل علمی از جمله روانشناسی پذیرفته,False,False
226,1907,18396276538589646664.wav,انگلیس پس از وقوع خصومت چه اقدامی علیه آلمان آغاز کرد؟,محاصره دریایی آلمان,event,0.166666667,0.116666667,درست پس از وقوع خصومت انگلیس محاصره دریایی آلمان را آغاز کرد,درست پس از خصومت انگلیس معاصله دریایی آلمان را آغاز کرد,False,False
172,1849,8513809356947145184.wav,فیلم «گنج ملی» ممکن است چه تصور نادرستی درباره اعلامیه استقلال ایجاد کند؟,یک نقشه گنج در پشت اعلامیه استقلال نوشته شده است,claim,0.173913043,0.08490566,اگر فیلم گنج ملی را تماشا کرده باشید ممکن است فکر کنید که یک نقشه گنج در پشت اعلامیه استقلال نوشته شده است,اگر فیلم گنجلی را تماشا کرده باشید ممکن است فکر کنید که یک نقشه گنج در پشتی استقلال نوشته شده است,False,False
122,1794,10197441927924455618.wav,تمدن در این متن چگونه تعریف شده است؟,یک فرهنگ واحد,definition,0.185185185,0.043859649,یک تمدن یک فرهنگ واحد است که توسط گروه بسیار بزرگی از مردم یک جامعه که در کنار هم زندگی و کار می‌کنند رعایت می‌شود,یک تمدن یک فرهنگ و است که توسط گروه بسیار بزرگی از مردم یک جامعه که در کنار هم زندگی و کار میکنند رعایت میشود,False,False
72,1740,3707292959405981894.wav,چه چیزی یکی از جالب‌ترین چیزها برای کودکان در این ناحیه است؟,صدای هرم و نمایش نور,event,0.1875,0.083333333,صدای هرم و نمایش نور یکی از جالب‌ترین چیزها برای کودکان در این ناحیه است,صدای هنگام و نمایشن یکی از جالب ترین چیزها برای کودکان در این ناحیه است,False,False
59,1726,4649846227869286227.wav,گردش علمی چه بخشی از هر کلاس درسی دانسته شده است؟,بخش عمده‌ای,attribute,0.1875,0.12244898,گردش علمی بخش عمده‌ای از هر کلاس درسی است مدرس در اغلب اوقات دوست دارد که دانش‌آموزان خود را به مکانهایی ببرد که گزینه سفر با اتوبوس را نداشته باشد,گردش علمی بخش عمده از هر کلاس درسی است در اغلب او دوست دارد که دانش آموزان خود را به مکانهایی که گزنه سفر به اتوبوس را نداشته باشد,False,False
233,1914,5362807294668071325.wav,تحقیقات قرن بیستم چند منبع تغییرات ژنتیکی معرفی کرد؟,دو منبع,quantity,0.1875,0.126582278,تحقیقات قرن بیستم نشان داد که دو منبع تغییرات ژنتیکی وجود دارد پنهان و بیان شده,تحقیقات قرن نشان داد که دو من تغییرات ژنتی وجود دارد پنهان و بیان شده,False,False
264,1945,14586252471811977549.wav,در کازابلانکا چه چیزی از کم‌جذاب‌ترین موارد معرفی شده است؟,مکان‌های خرید آن,entity,0.1875,0.125,کازابلانکا یکی از شهرهایی در مراکش است که مکان‌های خرید آن کمترین جذابیت را دارد,تا دلان یکی از شهرهایی در مراکش است که مکان خرید آن کمترین جذابیت را دارد,False,False
244,1925,12822161635152305473.wav,این برنامه برای شبیه‌سازی مشاهدات کدام کهکشان نوشته شده بود؟,کهکشان قوس,entity,0.19047619,0.104761905,کار انجام‌شده عمدتاً نظری بود ولی این برنامه برای شبیه‌سازی مشاهدات صورت‌گرفته از کهکشان قوس نوشته شده بود,کار انجام شده عمد نظری بود ولی این برنامه برای شبیه سازی مشاهد صورت گرفته از که غص نوشته شده بود,False,False
144,1818,13318594233044760050.wav,برای مسافرانی که به خانه بازمی‌گردند چه دو ویژگی ضروری دانسته شده است؟,صبر و درک شرایط,attribute_pair,0.19047619,0.097087379,افراد ممکن است انتظار نداشته باشند که صبر و درک شرایط هم برای مسافرانی که به خانه بازمی‌گردند ضروری است,افراد ممکن است انتظار نداشته باشند که ثبت و درک شرایط برای هم برای مسافرانی که به خانه باز میگردد ضروری است,False,False
13,1674,7803523127371118991.wav,در برخی مناطق برای ایمن‌سازی آب، جوشاندن آن چه مدت کافی است؟,یک دقیقه,duration,0.19047619,0.229166667,در برخی از مناطق جوشاندن آب برای یک دقیقه کافی است و در برخی دیگر لازم است چند دقیقه جوشانده شود,در برخی از مناطق یک کافی است و در برخی دیگر لازم است چند دقیقه جوشانده شود,False,False
