qa_id,id,file_name,question,gold_answer,reference_normalized,asr_normalized,wer_previous,cer_previous,answer_preserved,gold_answer_token_count,asr_llm_answer_raw,asr_llm_answer_normalized,asr_em,asr_f1,latency_sec,output_tokens,status,error,wer,cer,oracle_answer_raw,oracle_answer_normalized,oracle_em,oracle_f1,delta_f1,propagation_failure,answer_not_preserved,wer_x_answer_preserved,wer_bin
54,1720,16484235889057265269.wav,آبمیوه‌ها چگونه توصیف شده‌اند؟,گران‌قیمت ولی عالی,شکلات داغ در حد استانداردهای بلژیکی است آبمیوه‌ها گران‌قیمت ولی عالی می‌باشند,شکلات داغ در استانداردهای آبها گران قیمت ولی عالی میبند,0.466666667,0.285714286,True,4,"نامشخص 
",نامشخص,0,0.0,0.852898885,4,ok,,0.5,0.303030303030303,"گران‌قیمت ولی عالی 
",گران قیمت ولی عالی,1,1.0,1.0,1,0,0.5,30–50%
305,1990,3064895603802365988.wav,حضور چه چیزی معمولاً باعث بهبود گرامر و املای وبلاگ‌نویسی دانش‌آموزان می‌شود؟,حضور مخاطب,وبلاگ‌ها همچنین می‌توانند به پیشرفت مهارت نوشتن دانش‌آموز کمک کنند گرچه دانش‌آموزان اغلب وبلاگ‌نویسی خود را با گرامر و املای درهم و برهم آغاز می‌کنند حضور مخاطب عموماً در این موضوع تغییر ایجاد می‌کند,همچنین میتوانند به پیشرفت مهارت نوشتند که دانش آموزان اغلب وبلاویسی خود را با امرارم حضور مخاطب در این موضوع تغییر ایجاد میکنند,0.585365854,0.368686869,True,2,"امرارم حضور مخاطب 
",امرارم حضور مخاطب,0,0.8,1.077144615,8,ok,,0.5588235294117647,0.3757575757575757,"حضور مخاطب 
",حضور مخاطب,1,1.0,0.19999999999999996,1,0,0.5588235294117647,50–100%
187,1865,13726381510147079309.wav,مسافران کروز در سن‌پترزبورگ از چه الزامی معاف هستند؟,الزامات ویزا,شهرگردی در سن پترزبورگ شامل صرف زمان در شهر می‌شود. مسافران کروز از الزامات ویزا معاف هستند ضوابط را بررسی کنید,شهری درزب شامل صرفان در شهر میتوان مسافران در الزامات ویزا هستند را بررسی کنید,0.545454545,0.336363636,True,2,"نامشخص 
",نامشخص,0,0.0,0.751142166,4,ok,,0.5238095238095238,0.3444444444444444,"الزامات ویزا 
",الزامات ویزا,1,1.0,1.0,1,0,0.5238095238095238,50–100%
113,1784,8569123014074577987.wav,بر اساس حماسه نورس، اریک سرخ هنگام سفر به غرب چه سرزمینی را پیدا کرد؟,گرینلند,گرینلند به تدریج مستقر شد در حماسه نورس می گویند که اریک سرخ به جرم قتل از ایسلند تبعید شد و هنگام مسافرت به سمت غرب گرینلند را پیدا کرد و نام آن را گرینلند گذاشتند,گیرند به تد در همین میگویند که سرخ به جرم از هنگام مسافرت به سمت را پیدا کرد و نه آن گرینلند گذاشت,0.527777778,0.426829268,True,1,"نامشخص 
",نامشخص,0,0.0,0.677242926,4,ok,,0.5277777777777778,0.4418604651162791,"گرینلند 
",گرینلند,1,1.0,1.0,1,0,0.5277777777777778,50–100%
13,1674,11976195163810780883.wav,در برخی مناطق برای ایمن‌سازی آب، جوشاندن آن چه مدت کافی است؟,یک دقیقه,در برخی از مناطق جوشاندن آب برای یک دقیقه کافی است و در برخی دیگر لازم است چند دقیقه جوشانده شود,در برخی از مناطقوشاندن آب برای یک دقیقه است و در برخی دیگر لازم است چند دقیقه جوشانده شود,0.142857143,0.072916667,True,2,"چند دقیقه 
",چند دقیقه,0,0.5,0.80729616,4,ok,,0.1428571428571428,0.0657894736842105,"یک دقیقه 
",یک دقیقه,1,1.0,0.5,1,0,0.1428571428571428,10–20%
153,1828,13721538440388451173.wav,جستجوی عبارت «دوره محیطی متخاصم» در اینترنت احتمالاً چه چیزی را نشان می‌دهد؟,آدرس یک شرکت محلی,جستجو در اینترنت برای عبارت دوره محیطی متخاصم' احتمالاً آدرس یک شرکت محلی را نشان می دهد,جستجو در اینترنت برای عبارت دوره محیط متخصص احتمالا آدرس یک شرکت محلی را نشان میدهد,0.235294118,0.046511628,True,4,"نامشخص 
",نامشخص,0,0.0,0.823050605,4,ok,,0.2352941176470588,0.0428571428571428,"آدرس یک شرکت محلی 
",آدرس یک شرکت محلی,1,1.0,1.0,1,0,0.2352941176470588,20–30%
153,1828,1105599852721109296.wav,جستجوی عبارت «دوره محیطی متخاصم» در اینترنت احتمالاً چه چیزی را نشان می‌دهد؟,آدرس یک شرکت محلی,جستجو در اینترنت برای عبارت دوره محیطی متخاصم' احتمالاً آدرس یک شرکت محلی را نشان می دهد,جستجو در اینترنت برای عبارت دوره محیط متخصص احتمالا آدرس یک شرکت محلی را نشان میدهد,0.235294118,0.046511628,True,4,"نامشخص 
",نامشخص,0,0.0,0.794199102,4,ok,,0.2352941176470588,0.0428571428571428,"آدرس یک شرکت محلی 
",آدرس یک شرکت محلی,1,1.0,1.0,1,0,0.2352941176470588,20–30%
153,1828,12933074727111781468.wav,جستجوی عبارت «دوره محیطی متخاصم» در اینترنت احتمالاً چه چیزی را نشان می‌دهد؟,آدرس یک شرکت محلی,جستجو در اینترنت برای عبارت دوره محیطی متخاصم' احتمالاً آدرس یک شرکت محلی را نشان می دهد,جستجو در اینترنت برای عبارت دوره محیط متخصص احتمالا آدرس یک شرکت محلی را نشان میدهد,0.235294118,0.046511628,True,4,"نامشخص 
",نامشخص,0,0.0,0.741848923,4,ok,,0.2352941176470588,0.0428571428571428,"آدرس یک شرکت محلی 
",آدرس یک شرکت محلی,1,1.0,1.0,1,0,0.2352941176470588,20–30%
107,1778,2660077762510836381.wav,گزارش‌های تلویزیونی چه چیزی را بر فراز کارخانه گزارش کردند؟,دود سفید,گزارش‌های تلویزیونی حاکی از وجود دود سفید بر فراز کارخانه است,گزارشهای تلویزیونی هوی از وجود دود سفید و فرز کارخانه است,0.416666667,0.114754098,True,2,"دود سفید و فرز 
",دود سفید و فرز,0,0.666666667,0.91281515,6,ok,,0.3636363636363636,0.1372549019607843,"دود سفید 
",دود سفید,1,1.0,0.333333333,1,0,0.3636363636363636,30–50%
178,1856,13848116443096365695.wav,فنلاند به چه لقبی اشاره شده است؟,«سرزمین هزار دریاچه»,فنلاند یک مقصد قایقرانی عالی است این سرزمین هزار دریاچه هزاران جزیره نیز در دریاچه‌ها و شبه‌جزیره‌های ساحلی دارد,یک فنجان یک مقصد قایق رانی آلیس این سرزمین هزار دریاچه هزاران جزیره دریاچهها و شبه جزیرههای ساحلی دارد,0.5,0.178571429,True,3,"سرزمین هزار دریاچه هزاران جزیره 
",سرزمین هزار دریاچه هزاران جزیره,0,0.75,1.52531013,11,ok,,0.5263157894736842,0.1702127659574468,"سرزمین هزار دریاچه 
",سرزمین هزار دریاچه,1,1.0,0.25,1,0,0.5263157894736842,50–100%
3,1662,3788003274493424027.wav,آلیاژها اساساً ترکیبی از چه چیزی هستند؟,دو یا چند فلز,آلیاژها اساساً ترکیبی از دو یا چند فلز می‌باشند بیاد داشته باشید که عناصر بسیاری در جدول تناوبی وجود دارند,آلیاشاس ترکیب از دو یا چند فلز میباشد باشید که انجام بسیار در جدول تنوجود دارد,0.571428571,0.304761905,True,4,"فلز 
",فلز,0,0.4,0.742611678,4,ok,,0.55,0.3255813953488372,"دو یا چند فلز 
",دو یا چند فلز,1,1.0,0.6,1,0,0.55,50–100%
254,1935,4336750096449693082.wav,چه چیزی پشت سند نوشته نشده است؟,نقشه گنج,با این حال چنان چیزی درست نیست با اینکه چیزی پشت سند نوشته شده است این سند نقشه گنج نیست,با این حال چیزی درست نیست با اینکه چیزی پشتند نوشته شده است این سند نقشه گنج نیست,0.15,0.079545455,True,2,"نامشخص 
",نامشخص,0,0.0,0.730591892,4,ok,,0.15,0.072463768115942,"نقشه گنج 
",نقشه گنج,1,1.0,1.0,1,0,0.15,10–20%
254,1935,17962426350011437095.wav,چه چیزی پشت سند نوشته نشده است؟,نقشه گنج,با این حال چنان چیزی درست نیست با اینکه چیزی پشت سند نوشته شده است این سند نقشه گنج نیست,با این حال چیزی درست نیست با اینکه چیزی پشت سر نوشته شده است این سند نقشه گنج نیست,0.1,0.079545455,True,2,"نامشخص 
",نامشخص,0,0.0,0.880299052,4,ok,,0.1,0.0869565217391304,"نقشه گنج 
",نقشه گنج,1,1.0,1.0,1,0,0.1,0–10%
240,1921,6257969496748974185.wav,در بسیاری از کشورها چه شرایطی باعث می‌شود عبور و مرور بیشتر سال بدون وقفه ادامه یابد؟,شرایط یخ و برف,از طرف دیگر شرایط یخ و برف در بسیاری از کشورها عادی است و عبور و مرور اکثراً در طول سال بدون بروز وقفه در جریان است,از طرف دیگر شرایط یخ و برف در بسیاری از کشور عادی است و اکثرا سال بدون بروز در جریان است,0.259259259,0.228070175,True,4,"یخ و برف 
",یخ و برف,0,0.857142857,1.172535351,6,ok,,0.2592592592592592,0.2272727272727272,"شرایط یخ و برف 
",شرایط یخ و برف,1,1.0,0.14285714299999996,1,0,0.2592592592592592,20–30%
163,1839,2197348044135619578.wav,در متن توصیه شده مسیر اسکی را مانند چه چیزی در نظر بگیرید؟,مسیر پیاده روی,به همان شکل که در مورد مسیر پیاده روی فکر می‌کنید به مسیر اسکی نیز فکر کنید,به همان شرکت در مورد مسیر پیاده روی فکر میکنید اسکی نیست فکر کنید,0.388888889,0.2,True,3,"پیاده روی 
",پیاده روی,0,0.8,0.788529955,5,ok,,0.3529411764705882,0.2033898305084746,"مسیر پیاده روی 
",مسیر پیاده روی,1,1.0,0.19999999999999996,1,0,0.3529411764705882,30–50%
