qa_id,id,file_name,question,gold_answer,reference_normalized,asr_normalized,wer,cer,answer_preserved,gold_answer_token_count,asr_llm_answer_raw,asr_llm_answer_normalized,asr_em,asr_f1,latency_sec,output_tokens,status,error,oracle_answer_raw,oracle_answer_normalized,oracle_em,oracle_f1,delta_f1,propagation_failure
68,1735,7913564082410055971.wav,گونه‌های جدید تکامل‌یافته در چند نسل گزارش شدند؟,دو نسل,محققان دانشگاه پرینستون آمریکا و دانشگاه اوپسالا در سوئد گونه‌های جدید تکامل یافته‌ای را تنها در دو نسل گزارش دادند اگرچه اعتقاد بر این بود که به دلیل زاد و ولد بین یک سهره داروین بومی سهره زمینی متوسط و سهره کاکتوسی مهاجر یعنی سهره کاکتوسی بزرگ این روند خیلی بیشتر طول کشید,محققان دانشگاه پرینستون آمریکا و دانشگاه اوپسالا در سوئد گونه های جدید جدید تکامل یافته ای را تنها در دو نسل گزارش دادند اگرچه اعتقاد بر این بود که به دلیل زاد و ولد بین یک سهره داروین بومی سهره زمینه ی متوسط و سهره کاکتوسی مهاجر یعنی سحر کاکتوسی بزرگ این روند خیلی بیشتر طول کشید ایست,0.0909090909090909,0.0510948905109489,True,2,"دو 
",دو,0,0.666666667,1.847164341,3,ok,,"دو 
",دو,0,0.666666667,0.0,
54,1720,621633057978356932.wav,آبمیوه‌ها چگونه توصیف شده‌اند؟,گران‌قیمت ولی عالی,شکلات داغ در حد استانداردهای بلژیکی است آبمیوه‌ها گران‌قیمت ولی عالی می‌باشند,شکلات داغ در حد استاندارد های بلژیکی است آبمیوه های گران قیمت ولی آن می باشند,0.2666666666666666,0.0779220779220779,False,4,"گران قیمت 
",گران قیمت,0,0.666666667,0.757262937,4,ok,,"گران‌قیمت ولی عالی 
",گران قیمت ولی عالی,1,1.0,0.333333333,1
54,1720,13180061520623477685.wav,آبمیوه‌ها چگونه توصیف شده‌اند؟,گران‌قیمت ولی عالی,شکلات داغ در حد استانداردهای بلژیکی است آبمیوه‌ها گران‌قیمت ولی عالی می‌باشند,شکلات داغ در حد استاندارد های بلژیکی است آفریقا گران قیمت ولی عالی می باشند,0.2666666666666666,0.0909090909090909,True,4,"نامشخص 
",نامشخص,0,0.0,0.717856055,4,ok,,"گران‌قیمت ولی عالی 
",گران قیمت ولی عالی,1,1.0,1.0,1
54,1720,16484235889057265269.wav,آبمیوه‌ها چگونه توصیف شده‌اند؟,گران‌قیمت ولی عالی,شکلات داغ در حد استانداردهای بلژیکی است آبمیوه‌ها گران‌قیمت ولی عالی می‌باشند,شکلات داغ در حد استاندارد های بلژیکی است آب میوه ها گران قیمت و عالی می باشد,0.4,0.0649350649350649,False,4,"گران قیمت و عالی 
",گران قیمت و عالی,0,0.75,0.872685633,6,ok,,"گران‌قیمت ولی عالی 
",گران قیمت ولی عالی,1,1.0,0.25,1
274,1955,17985233135634044314.wav,سیستم عصبی مرکزی از چه بخش‌هایی تشکیل شده است؟,مغز، نخاع و عصب بینایی,ms نوعی بیماری است که بر سیستم عصبی مرکزی تأثیر می گذارد که از مغز نخاع و عصب بینایی تشکیل شده است,نوعی بیماری است که بر سیستم عصبی م ارث مرکز تاثیر می گذارد که از مغز نخاع و اعصاب بینایی تشکیل شده است,0.2727272727272727,0.1326530612244898,False,5,"مغز، نخاع و اعصاب بینایی 
",مغز نخاع و اعصاب بینایی,0,0.8,1.571733234,13,ok,,"مغز، نخاع و عصب بینایی 
",مغز نخاع و عصب بینایی,1,1.0,0.19999999999999996,1
274,1955,5361993241238446472.wav,سیستم عصبی مرکزی از چه بخش‌هایی تشکیل شده است؟,مغز، نخاع و عصب بینایی,ms نوعی بیماری است که بر سیستم عصبی مرکزی تأثیر می گذارد که از مغز نخاع و عصب بینایی تشکیل شده است,اس نوعی بیماری است که بر سیستم عصبی مرکزی تاثیر می گذارد که از مغز نخاع و عصب بینایی تشکیل شده است,0.0909090909090909,0.0306122448979591,True,5,"مغز، نخاع و عصب بینایی 
",مغز نخاع و عصب بینایی,1,1.0,1.58539924,13,ok,,"مغز، نخاع و عصب بینایی 
",مغز نخاع و عصب بینایی,1,1.0,0.0,0
274,1955,5517678376690366496.wav,سیستم عصبی مرکزی از چه بخش‌هایی تشکیل شده است؟,مغز، نخاع و عصب بینایی,ms نوعی بیماری است که بر سیستم عصبی مرکزی تأثیر می گذارد که از مغز نخاع و عصب بینایی تشکیل شده است,اس نوعی بیماری است که بر سیستم عصبی مرکزی تاثیر می گذارد که از مغز نخاع و اعصاب بینایی تشکیل شده است,0.1363636363636363,0.0510204081632653,False,5,"مغز، نخاع و اعصاب بینایی 
",مغز نخاع و اعصاب بینایی,0,0.8,1.65618159,13,ok,,"مغز، نخاع و عصب بینایی 
",مغز نخاع و عصب بینایی,1,1.0,0.19999999999999996,1
49,1715,12640043555828451835.wav,اطلاعیه‌های عادی مترو تنها به چه زبانی بیان می‌شوند؟,کاتالونیایی,اطلاعیه‌های عادی در مترو تنها به زبان کاتالونیایی بیان می‌شوند اما اختلالات خارج از برنامه را یک سیستم خودکار به انواع زبان‌ها از جمله اسپانیایی انگلیسی فرانسوی عربی و ژاپنی اعلام می‌کند,اطلاعیه های عادی در مترو تنها به زبان کاتالونیایی بیان می شود اما اختلالات خارج از برنامه را یک سیستم خودکار به انواع زبان ها از جمله اسپانیایی انگلیسی فرانسوی عربی و ژاپنی اعلام می کند,0.0277777777777777,0.0053763440860215,True,1,"کاتالونیایی 
",کاتالونیایی,1,1.0,0.988607136,6,ok,,"کاتالونیایی 
",کاتالونیایی,1,1.0,0.0,0
49,1715,1635599430770779455.wav,اطلاعیه‌های عادی مترو تنها به چه زبانی بیان می‌شوند؟,کاتالونیایی,اطلاعیه‌های عادی در مترو تنها به زبان کاتالونیایی بیان می‌شوند اما اختلالات خارج از برنامه را یک سیستم خودکار به انواع زبان‌ها از جمله اسپانیایی انگلیسی فرانسوی عربی و ژاپنی اعلام می‌کند,اطلاعیه های عادی در مترو تنها به زبان کاتالونیایی بیان می شوند اما اختلالات خارج از برنامه را یک سیستم خودکار به انواع زبان ها از جمله زبان اسپانیایی انگلیسی فرانسوی عربی و ژاپنی اعلام می کند,0.0277777777777777,0.0268817204301075,True,1,"کاتالونیایی 
",کاتالونیایی,1,1.0,1.285932264,6,ok,,"کاتالونیایی 
",کاتالونیایی,1,1.0,0.0,0
49,1715,11553585023895223084.wav,اطلاعیه‌های عادی مترو تنها به چه زبانی بیان می‌شوند؟,کاتالونیایی,اطلاعیه‌های عادی در مترو تنها به زبان کاتالونیایی بیان می‌شوند اما اختلالات خارج از برنامه را یک سیستم خودکار به انواع زبان‌ها از جمله اسپانیایی انگلیسی فرانسوی عربی و ژاپنی اعلام می‌کند,اطلاعیه های عادی در مترو تنها به زبان کاتالونیایی بیان می شود اما اختلالات خارج از برنامه را یک سیستم خودکار به انواع زبان ها از جمله اسپانیایی انگلیسی فرانسوی عربی و ژاپنی اعلام می کنم,0.0555555555555555,0.010752688172043,True,1,"کاتالونیایی 
",کاتالونیایی,1,1.0,1.331181922,6,ok,,"کاتالونیایی 
",کاتالونیایی,1,1.0,0.0,0
