qa_id,id,file_name,question,gold_answer,answer_type,wer,cer,reference_normalized,asr_raw,answer_preserved,answer_preserved_token_span
156,1832,12645165184862900089.wav,دو مورد نخست از ورزش‌های رایج ذکرشده کدام‌اند؟,فوتبال، بسکتبال,sport_list,0.727272727,0.511627907,ورزش‌های رایج شامل فوتبال بسکتبال والیبال واترپلو شمشیربازی راگبی دوچرخه سواری ‌هاکی روی یخ رولر هاکی و مسابقات اتومبیلرانی f۱ است,ورزشهای راجع ارزشهای رایج شامل فوتبال بسکتبال پاتر پلو شمشیر بازی دوچرخه سواری هاکی ویرانی آان,True,True
185,1863,9169545507257190253.wav,در مرکز مراقبه تبت، کانال‌های انرژی از طریق چه کاری پاک می‌شوند؟,تجسم خدایان مختلف,method,0.592592593,0.272058824,مرکز مراقبه تبت یوگای خدایان است از طریق تجسم خدایان مختلف کانال های انرژی پاک می شوند چاکراها فعال می شوند و آگاهی روشنگری ایجاد می شود,مرکز مراقبای است از طریق تجسم خدایان مختلف کانالهای انرژی و پاک میشوند چاپها فعال میشوند و آگاهی رشد میکنند,True,True
305,1990,3064895603802365988.wav,حضور چه چیزی معمولاً باعث بهبود گرامر و املای وبلاگ‌نویسی دانش‌آموزان می‌شود؟,حضور مخاطب,factor,0.585365854,0.368686869,وبلاگ‌ها همچنین می‌توانند به پیشرفت مهارت نوشتن دانش‌آموز کمک کنند گرچه دانش‌آموزان اغلب وبلاگ‌نویسی خود را با گرامر و املای درهم و برهم آغاز می‌کنند حضور مخاطب عموماً در این موضوع تغییر ایجاد می‌کند,همچنین میتوانند به پیشرفت مهارت نوشتند که دانش آموزان اغلب وبلاویسی خود را با امرارم حضور مخاطب در این موضوع تغییر ایجاد میکنند,True,True
3,1662,3788003274493424027.wav,آلیاژها اساساً ترکیبی از چه چیزی هستند؟,دو یا چند فلز,definition,0.571428571,0.304761905,آلیاژها اساساً ترکیبی از دو یا چند فلز می‌باشند بیاد داشته باشید که عناصر بسیاری در جدول تناوبی وجود دارند,آلیاشاس ترکیب از دو یا چند فلز میباشد باشید که انجام بسیار در جدول تنوجود دارد,True,True
68,1735,7913564082410055971.wav,گونه‌های جدید تکامل‌یافته در چند نسل گزارش شدند؟,دو نسل,quantity,0.545454545,0.441605839,محققان دانشگاه پرینستون آمریکا و دانشگاه اوپسالا در سوئد گونه‌های جدید تکامل یافته‌ای را تنها در دو نسل گزارش دادند اگرچه اعتقاد بر این بود که به دلیل زاد و ولد بین یک سهره داروین بومی سهره زمینی متوسط و سهره کاکتوسی مهاجر یعنی سهره کاکتوسی بزرگ این روند خیلی بیشتر طول کشید,محققان دانشگاه پون در سودگهای جدید تکامل را تنها در دو نسل گزارش دادند اگر چه بریم که به دلیل لذت بین یک سله دارین متوسط و سه موهاجر این روند خیلی بیشتر طول کشید,True,True
187,1865,13726381510147079309.wav,مسافران کروز در سن‌پترزبورگ از چه الزامی معاف هستند؟,الزامات ویزا,requirement,0.545454545,0.336363636,شهرگردی در سن پترزبورگ شامل صرف زمان در شهر می‌شود. مسافران کروز از الزامات ویزا معاف هستند ضوابط را بررسی کنید,شهری درزب شامل صرفان در شهر میتوان مسافران در الزامات ویزا هستند را بررسی کنید,True,True
8,1667,9649890637694234980.wav,وقتی مدیران شروع به رهبری همکاران سابق خود می‌کنند، یک سر طیف تلاش می‌کند چه چیزی باقی بماند؟,«یکی از رفقا»,attribute,0.535714286,0.299212598,بطور کلی وقتی مدیران شروع به رهبری همکاران سابق خود می‌کنند دو رفتار پدیدار می‌شود یک سر طیف تلاش می‌کند یکی از رفقا باقی بماند,بطور کلی مدیران شروع به همکاران ثبت خود میکند دو رفتار پدیدار میشوندش میکنند یکی از رفقای بماند,True,False
292,1974,5654743165879878073.wav,طبق ضوابط، شلوار مردان باید چه بخشی از بدن را بپوشاند؟,زانوهایشان,body_part,0.533333333,0.275862069,با ضوابطی مشابه مردان هم موظف هستند تا شلوارهایی پوشانند که زانوهایشان را پوشانده باشند,وابتی مشابه مردان معذف هستند بپوشانند که زانوهایشان را پوشانده باشد,True,True
113,1784,8569123014074577987.wav,بر اساس حماسه نورس، اریک سرخ هنگام سفر به غرب چه سرزمینی را پیدا کرد؟,گرینلند,location,0.527777778,0.426829268,گرینلند به تدریج مستقر شد در حماسه نورس می گویند که اریک سرخ به جرم قتل از ایسلند تبعید شد و هنگام مسافرت به سمت غرب گرینلند را پیدا کرد و نام آن را گرینلند گذاشتند,گیرند به تد در همین میگویند که سرخ به جرم از هنگام مسافرت به سمت را پیدا کرد و نه آن گرینلند گذاشت,True,True
267,1948,10571388579404636574.wav,سه پادشاهی یکی از خونین‌ترین دوران تاریخ کدام کشور باستانی بود؟,چین باستان,location,0.527777778,0.35625,این سه پادشاهی یکی از خونین‌ترین دوران تاریخ چین باستان به حساب می‌آید که در آن هزاران نفر برای تصاحب بالاترین کرسی در کاخ بزرگ در شی‌آن جان خود را از دست دادند,این سفارش یکی از خونهترین دوران تاریخ چین باستان به حساب میآید تصور بالاترین کرسی در کافش خود را از دست دادند,True,True
158,1834,978868561345971999.wav,بَست بزرگ بانو فاطمه در سراسر جهان به چه چیزی معروف است؟,تجلی مریم,event,0.523809524,0.494949495,همچنین در شمال از بَست بزرگ بانو فاطمه حرم بازدید کنید، مکانی که در سراسر جهان به تجلی مریم معروف است,همچنین در شمال از بستن جهان به تجلی مریم معروف است,True,True
168,1845,14767299489391426942.wav,پادشاه و ملکه با چه وسیله‌ای به پاریس بازگشتند؟,یک واگن,transport,0.52,0.191666667,در یک واگن آنها درحالیکه توسط جمعی از مردم که با فریاد پادشاه و ملکه را تهدید می‌کردند احاطه شده بودند به پاریس بازگشتند,در یک واگن آنها در حالی که توسط جمعیت با فریاد پادشاه و ملکه تدید میکردند اهدا شده بودند به پاریس باز گشتند,True,True
261,1942,16961894515452398622.wav,ما خانه‌ها و پوشاک خود را از چه چیزی می‌سازیم؟,گیاهان,resource,0.52,0.346774194,ما خانه‌ها و پوشاک خود را از گیاهان می‌سازیم اکثر غذاهایی که می‌خوریم گیاهی هستند بدون گیاهان حیوانات نمی‌توانند زنده بمانند,ما خانهها و پوشاک را از گیاهان می سازند بدون گیاهان حیوانات نمیتوانند زنده بمانند,True,True
