id,file_name,audio_path,gender,audio_duration,reference_raw,reference_normalized,prediction_raw,inference_time,rtf,status,error
1735,7913564082410055971.wav,/content/drive/MyDrive/persian_asr_llm_error_propagation/data/test_audio/test/7913564082410055971.wav,MALE,32.4,محققان دانشگاه پرینستون آمریكا و دانشگاه اوپسالا در سوئد گونه‌های جدید تکامل یافته‌ای را تنها در دو نسل گزارش دادند، اگرچه اعتقاد بر این بود که به دلیل زاد و ولد بین یک سهره داروین بومی، سهره زمینی متوسط، و سهره کاکتوسی مهاجر، یعنی سهره کاکتوسی بزرگ، این روند خیلی بیشتر طول کشید.,محققان دانشگاه پرینستون آمریکا و دانشگاه اوپسالا در سوئد گونه‌های جدید تکامل یافته‌ای را تنها در دو نسل گزارش دادند اگرچه اعتقاد بر این بود که به دلیل زاد و ولد بین یک سهره داروین بومی سهره زمینی متوسط و سهره کاکتوسی مهاجر یعنی سهره کاکتوسی بزرگ این روند خیلی بیشتر طول کشید,محققان دانشگاه پرینستون آمریکا و دانشگاه اوپسالا در سوئد گونه‌های جدید جدید تکامل‌یافته‌ای را تنها در دو نسل گزارش دادند اگرچه اعتقاد بر این بود که به دلیل زاد و ولد بین یک سهره داروین بومی سهره زمینه‌ی متوسط و سهره کاکتوسی مهاجر یعنی سحر کاکتوسی بزرگ این روند خیلی بیشتر طول کشید ایست,8.63980810299995,0.2666607439197516,ok,
1720,621633057978356932.wav,/content/drive/MyDrive/persian_asr_llm_error_propagation/data/test_audio/test/621633057978356932.wav,MALE,12.12,شکلات داغ در حد استانداردهای بلژیکی است. آبمیوه‌ها گران‌قیمت ولی عالی می‌باشند.,شکلات داغ در حد استانداردهای بلژیکی است آبمیوه‌ها گران‌قیمت ولی عالی می‌باشند,شکلات داغ در حد استاندارد‌های بلژیکی است آبمیوه‌های گران‌قیمت ولی آن می‌باشند,10.21003749700003,0.8424123347359761,ok,
1720,13180061520623477685.wav,/content/drive/MyDrive/persian_asr_llm_error_propagation/data/test_audio/test/13180061520623477685.wav,MALE,12.84,شکلات داغ در حد استانداردهای بلژیکی است. آبمیوه‌ها گران‌قیمت ولی عالی می‌باشند.,شکلات داغ در حد استانداردهای بلژیکی است آبمیوه‌ها گران‌قیمت ولی عالی می‌باشند,شکلات داغ در حد استاندارد‌های بلژیکی است آفریقا گران‌قیمت ولی عالی می‌باشند,3.873890491999873,0.3017048669781833,ok,
1720,16484235889057265269.wav,/content/drive/MyDrive/persian_asr_llm_error_propagation/data/test_audio/test/16484235889057265269.wav,MALE,13.98,شکلات داغ در حد استانداردهای بلژیکی است. آبمیوه‌ها گران‌قیمت ولی عالی می‌باشند.,شکلات داغ در حد استانداردهای بلژیکی است آبمیوه‌ها گران‌قیمت ولی عالی می‌باشند,شکلات داغ در حد استاندارد‌های بلژیکی است آب‌میوه‌ها گران‌قیمت و عالی می‌باشد,5.357428834000075,0.3832209466380597,ok,
1955,17985233135634044314.wav,/content/drive/MyDrive/persian_asr_llm_error_propagation/data/test_audio/test/17985233135634044314.wav,MALE,13.68,MS نوعی بیماری است که بر سیستم عصبی مرکزی تأثیر می گذارد، که از مغز، نخاع و عصب بینایی تشکیل شده است.,ms نوعی بیماری است که بر سیستم عصبی مرکزی تأثیر می گذارد که از مغز نخاع و عصب بینایی تشکیل شده است,نوعی بیماری است که بر سیستم عصبی م ارث مرکز تاثیر می‌گذارد که از مغز نخاع و اعصاب بینایی تشکیل‌شده است,3.2714145429999917,0.2391384899853795,ok,
1955,5361993241238446472.wav,/content/drive/MyDrive/persian_asr_llm_error_propagation/data/test_audio/test/5361993241238446472.wav,MALE,12.96,MS نوعی بیماری است که بر سیستم عصبی مرکزی تأثیر می گذارد، که از مغز، نخاع و عصب بینایی تشکیل شده است.,ms نوعی بیماری است که بر سیستم عصبی مرکزی تأثیر می گذارد که از مغز نخاع و عصب بینایی تشکیل شده است,اس نوعی بیماری است که بر سیستم عصبی مرکزی تاثیر می‌گذارد که از مغز نخاع و عصب بینایی تشکیل‌شده است,3.1900447900000017,0.2461454313271606,ok,
1955,5517678376690366496.wav,/content/drive/MyDrive/persian_asr_llm_error_propagation/data/test_audio/test/5517678376690366496.wav,MALE,13.68,MS نوعی بیماری است که بر سیستم عصبی مرکزی تأثیر می گذارد، که از مغز، نخاع و عصب بینایی تشکیل شده است.,ms نوعی بیماری است که بر سیستم عصبی مرکزی تأثیر می گذارد که از مغز نخاع و عصب بینایی تشکیل شده است,اس نوعی بیماری است که بر سیستم عصبی مرکزی تاثیر می‌گذارد که از مغز نخاع و اعصاب بینایی تشکیل‌شده است,4.021625601000096,0.2939784796052702,ok,
1715,12640043555828451835.wav,/content/drive/MyDrive/persian_asr_llm_error_propagation/data/test_audio/test/12640043555828451835.wav,MALE,17.04,اطلاعیه‌های عادی در مترو تنها به زبان کاتالونیایی بیان می‌شوند، اما اختلالات خارج از برنامه را یک سیستم خودکار به انواع زبان‌ها از جمله اسپانیایی، انگلیسی، فرانسوی، عربی و ژاپنی اعلام می‌کند.,اطلاعیه‌های عادی در مترو تنها به زبان کاتالونیایی بیان می‌شوند اما اختلالات خارج از برنامه را یک سیستم خودکار به انواع زبان‌ها از جمله اسپانیایی انگلیسی فرانسوی عربی و ژاپنی اعلام می‌کند,اطلاعیه‌های عادی در مترو تنها به زبان کاتالونیایی بیان می‌شود اما اختلالات خارج از برنامه را یک سیستم خودکار به انواع زبان‌ها از جمله اسپانیایی انگلیسی فرانسوی عربی و ژاپنی اعلام می‌کند,4.82301702399991,0.28304090516431396,ok,
1715,1635599430770779455.wav,/content/drive/MyDrive/persian_asr_llm_error_propagation/data/test_audio/test/1635599430770779455.wav,MALE,22.5,اطلاعیه‌های عادی در مترو تنها به زبان کاتالونیایی بیان می‌شوند، اما اختلالات خارج از برنامه را یک سیستم خودکار به انواع زبان‌ها از جمله اسپانیایی، انگلیسی، فرانسوی، عربی و ژاپنی اعلام می‌کند.,اطلاعیه‌های عادی در مترو تنها به زبان کاتالونیایی بیان می‌شوند اما اختلالات خارج از برنامه را یک سیستم خودکار به انواع زبان‌ها از جمله اسپانیایی انگلیسی فرانسوی عربی و ژاپنی اعلام می‌کند,اطلاعیه‌های عادی در مترو تنها به زبان کاتالونیایی بیان می‌شوند اما اختلالات خارج از برنامه را یک سیستم خودکار به انواع زبان‌ها از جمله زبان اسپانیایی انگلیسی فرانسوی عربی و ژاپنی اعلام می‌کند,5.403990214000032,0.24017734284444586,ok,
1715,11553585023895223084.wav,/content/drive/MyDrive/persian_asr_llm_error_propagation/data/test_audio/test/11553585023895223084.wav,MALE,22.02,اطلاعیه‌های عادی در مترو تنها به زبان کاتالونیایی بیان می‌شوند، اما اختلالات خارج از برنامه را یک سیستم خودکار به انواع زبان‌ها از جمله اسپانیایی، انگلیسی، فرانسوی، عربی و ژاپنی اعلام می‌کند.,اطلاعیه‌های عادی در مترو تنها به زبان کاتالونیایی بیان می‌شوند اما اختلالات خارج از برنامه را یک سیستم خودکار به انواع زبان‌ها از جمله اسپانیایی انگلیسی فرانسوی عربی و ژاپنی اعلام می‌کند,اطلاعیه‌های عادی در مترو تنها به زبان کاتالونیایی بیان می‌شود اما اختلالات خارج از برنامه را یک سیستم خودکار به انواع زبان‌ها از جمله اسپانیایی انگلیسی فرانسوی عربی و ژاپنی اعلام می‌کنم,9.189073000000008,0.4173057674841057,ok,
