qa_id,id,file_name,question,gold_answer,reference_normalized,asr_normalized,wer_previous,cer_previous,answer_preserved,gold_answer_token_count,asr_llm_answer_raw,asr_llm_answer_normalized,asr_em,asr_f1,latency_sec,output_tokens,status,error,wer,cer,oracle_answer_raw,oracle_answer_normalized,oracle_em,oracle_f1,delta_f1,propagation_failure,answer_not_preserved,wer_x_answer_preserved,wer_bin
54,1720,13180061520623477685.wav,آبمیوه‌ها چگونه توصیف شده‌اند؟,گران‌قیمت ولی عالی,شکلات داغ در حد استانداردهای بلژیکی است آبمیوه‌ها گران‌قیمت ولی عالی می‌باشند,شکلات داغ در حد استاندارد های بلژیکی است آفریقا گران قیمت ولی عالی می باشند,0.2666666666666666,0.0909090909090909,True,4,"نامشخص 
",نامشخص,0,0.0,0.717856055,4,ok,,0.1666666666666666,0.106060606060606,"گران‌قیمت ولی عالی 
",گران قیمت ولی عالی,1,1.0,1.0,1,0,0.1666666666666666,10–20%
205,1884,9479511424182567816.wav,با تفسیر صحیح عبارات کوچک، طبق ادعا چه چیزی قابل تشخیص است؟,فرد دروغ می‌گوید,به ویژه ادعا می شود که با تفسیر صحیح عبارات کوچک می‌توان تشخیص داد که فرد دروغ می‌گوید,به ویژه ادعا می شود که با تفسیر صحیح عبارات کوچک می توان تشخیص داد که فرد دروغ می گوید,0.0,0.0,True,4,"فرد دروغگو 
",فرد دروغگو,0,0.333333333,1.124081551,6,ok,,0.1111111111111111,0.0144927536231884,"فرد دروغ می‌گوید. 
",فرد دروغ می گوید,1,1.0,0.666666667,1,0,0.1111111111111111,10–20%
205,1884,837386491108778241.wav,با تفسیر صحیح عبارات کوچک، طبق ادعا چه چیزی قابل تشخیص است؟,فرد دروغ می‌گوید,به ویژه ادعا می شود که با تفسیر صحیح عبارات کوچک می‌توان تشخیص داد که فرد دروغ می‌گوید,بویژه ادعا می شود که با تصویر صحیح عبارات کوچک می توان تشخیص داد که فرد دروغ می گوید,0.15,0.0465116279069767,True,4,"فرد دروغگو 
",فرد دروغگو,0,0.333333333,1.069307319,6,ok,,0.2777777777777778,0.0579710144927536,"فرد دروغ می‌گوید. 
",فرد دروغ می گوید,1,1.0,0.666666667,1,0,0.2777777777777778,20–30%
205,1884,3551909830487983535.wav,با تفسیر صحیح عبارات کوچک، طبق ادعا چه چیزی قابل تشخیص است؟,فرد دروغ می‌گوید,به ویژه ادعا می شود که با تفسیر صحیح عبارات کوچک می‌توان تشخیص داد که فرد دروغ می‌گوید,بویژه ادعا می شود که با تفسیر صحیح عبارات کوچک می توان تشخیص داد که فرد دروغ می گوید,0.1,0.0232558139534883,True,4,"فرد دروغگو 
",فرد دروغگو,0,0.333333333,1.023197521,6,ok,,0.2222222222222222,0.0289855072463768,"فرد دروغ می‌گوید. 
",فرد دروغ می گوید,1,1.0,0.666666667,1,0,0.2222222222222222,20–30%
38,1700,3921545227918950509.wav,زیر زمین‌های مرتفع، ضخامت لایه مورد اشاره چگونه است؟,ضخیم‌تر,زیر دریاوارها نازک‌تر و زیر زمین‌های مرتفع ضخیم‌تر است,زیر دریا بارها نازک تر از زیر زمین های مرتفع ضخیم تر است,0.25,0.074074074074074,True,2,"ضخیم 
",ضخیم,0,0.666666667,0.905560895,5,ok,,0.3333333333333333,0.0652173913043478,"ضخیم‌تر 
",ضخیم تر,1,1.0,0.333333333,1,0,0.3333333333333333,30–50%
187,1865,15542511372560846063.wav,مسافران کروز در سن‌پترزبورگ از چه الزامی معاف هستند؟,الزامات ویزا,شهرگردی در سن پترزبورگ شامل صرف زمان در شهر می‌شود. مسافران کروز از الزامات ویزا معاف هستند ضوابط را بررسی کنید,شهر گردی در سن پترزبورگ شامل صرف زمان در شهر می شود مسافران کروز از الزامات ویزا معاف هستند ضوابط را بررسی کنید,0.0909090909090909,0.009090909090909,True,2,"ویزا 
",ویزا,0,0.666666667,0.957295254,4,ok,,0.1904761904761904,0.0111111111111111,"الزامات ویزا 
",الزامات ویزا,1,1.0,0.333333333,1,0,0.1904761904761904,10–20%
187,1865,17149078634298491163.wav,مسافران کروز در سن‌پترزبورگ از چه الزامی معاف هستند؟,الزامات ویزا,شهرگردی در سن پترزبورگ شامل صرف زمان در شهر می‌شود. مسافران کروز از الزامات ویزا معاف هستند ضوابط را بررسی کنید,شهرگردی در سن پترزبورگ شامل صرف زمان در شهر می شود مسافران کروز از الزامات ویزا معاف هستند ضابط را بررسی کنید,0.0454545454545454,0.009090909090909,True,2,"ویزا 
",ویزا,0,0.666666667,0.851702697,4,ok,,0.1428571428571428,0.0222222222222222,"الزامات ویزا 
",الزامات ویزا,1,1.0,0.333333333,1,0,0.1428571428571428,10–20%
317,2002,6512478082078159355.wav,بازیکنان با حرکت چه چیزی در هوا می‌توانند بازی ویدئویی را کنترل کنند؟,دستگاه,این به بازیکنان امکان خواهد داد تا اقدامات و حرکت‌ها را در بازی‌های ویدئویی توسط حرکت دستگاه در هوا کنترل کنند,این به بازیکنان امکان خواهد داد تا اقدامات و حرکات را در بازی های ویدئویی توسط حرکت دستگاه ها در هوا کنترل کنند,0.1304347826086956,0.0636363636363636,True,1,"دستگاه ها 
",دستگاه ها,0,0.666666667,0.887916355,5,ok,,0.0952380952380952,0.0777777777777777,"دستگاه 
",دستگاه,1,1.0,0.333333333,1,0,0.0952380952380952,0–10%
235,1916,15062872819913404329.wav,کیک‌های پرطرفدار آلمانی اغلب با چه نوشیدنی‌ای سرو می‌شوند؟,فنجانی از قهوه غلیظ,بسیاری از شیرینی‌های آلمانی دارای بادام فندق و سایر خشکبارهای درختی هستند کیک‌های پرطرفدار اغلب با فنجانی از قهوه غلیظ سرو می‌شوند,بسیاری از شیرینی های آلمانی داره بادام هستند فندق و سایر خشکبارهای درختی هستند کیک های پرطرفدار اغلب با فنجانی از قهوه غلیظ سرد سرو می شود,0.16,0.1,True,4,"فنجانی از قهوه غلیظ سرد 
",فنجانی از قهوه غلیظ سرد,0,0.888888889,1.567426395,11,ok,,0.1818181818181818,0.1009174311926605,"فنجانی از قهوه غلیظ 
",فنجانی از قهوه غلیظ,1,1.0,0.11111111100000004,1,0,0.1818181818181818,10–20%
116,1787,17747836367966405925.wav,وبلاگ‌نویسی دانش‌آموزان را به چه کاری فراتر از برنامه روزانه مدرسه ترغیب می‌کند؟,یادگیری را فراتر از برنامه‌های روزانه سنتی مدرسه گسترش دهند,وبلاگ‌نویسی ابزاری است که الهام‌بخش همکاری بوده و دانش‌آموزان را ترغیب می‌کند تا یادگیری را فراتر از برنامه‌های روزانه سنتی مدرسه گسترش دهند,وبلاگ نویسی ابزاری است که الهامبخش همکاری بوده و دانش آموزان را ترغیب می کند تا یادگیری را فراتر از برنامه های روزانه سنتی مدرسه گسترش دهند,0.0714285714285714,0.0071428571428571,True,11,"یادگیری 
",یادگیری,0,0.166666667,0.863731572,4,ok,,0.0434782608695652,0.0084745762711864,"یادگیری را فراتر از برنامه‌های روزانه سنتی مدرسه گسترش دهند 
",یادگیری را فراتر از برنامه های روزانه سنتی مدرسه گسترش دهند,1,1.0,0.833333333,1,0,0.0434782608695652,0–10%
